Año,Distrito,Género,Rango_etario,Ord_rango_etario,Frecuencia
2022,Norte-Orán,Varones,15-17 años,4,16
2022,Norte-Tartagal,Varones,15-17 años,4,32
2020,Centro,Varones,18-21 años,5,350
2020,Sur-Metán,Varones,18-21 años,5,12
2020,Norte-Orán,Varones,18-21 años,5,15
2020,Norte-Tartagal,Varones,18-21 años,5,29
2021,Sur-Anta,Varones,18-21 años,5,3
2021,Centro,Varones,18-21 años,5,351
2021,Sur-Metán,Varones,18-21 años,5,13
2021,Norte-Orán,Varones,18-21 años,5,19
2021,Norte-Tartagal,Varones,18-21 años,5,28
2022,Sur-Anta,Varones,18-21 años,5,8
2022,Centro,Varones,18-21 años,5,223
2022,Sur-Metán,Varones,18-21 años,5,26
2022,Norte-Orán,Varones,18-21 años,5,18
2022,Norte-Tartagal,Varones,18-21 años,5,28
2020,Centro,Varones,22-29 años,6,1057
2020,Sur-Metán,Varones,22-29 años,6,41
2020,Norte-Orán,Varones,22-29 años,6,56
2020,Norte-Tartagal,Varones,22-29 años,6,65
2021,Sur-Anta,Varones,22-29 años,6,9
2021,Centro,Varones,22-29 años,6,1226
2021,Sur-Metán,Varones,22-29 años,6,51
2021,Norte-Orán,Varones,22-29 años,6,64
2021,Norte-Tartagal,Varones,22-29 años,6,101
2022,Sur-Anta,Varones,22-29 años,6,84
2022,Centro,Varones,22-29 años,6,1025
2022,Sur-Metán,Varones,22-29 años,6,49
2022,Norte-Orán,Varones,22-29 años,6,73
2022,Norte-Tartagal,Varones,22-29 años,6,92
2020,Centro,Varones,30-39 años,7,1311
2020,Sur-Metán,Varones,30-39 años,7,45
2020,Norte-Orán,Varones,30-39 años,7,80
2020,Norte-Tartagal,Varones,30-39 años,7,83
2021,Sur-Anta,Varones,30-39 años,7,9
2021,Centro,Varones,30-39 años,7,1783
2021,Sur-Metán,Varones,30-39 años,7,74
2021,Norte-Orán,Varones,30-39 años,7,92
2021,Norte-Tartagal,Varones,30-39 años,7,126
2022,Sur-Anta,Varones,30-39 años,7,96
2022,Centro,Varones,30-39 años,7,1389
2022,Sur-Metán,Varones,30-39 años,7,66
2022,Norte-Orán,Varones,30-39 años,7,104
